timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1574706527064,32,HTTP Request,200,OK,Thread Group 1-1,text,true,,26121,115,1,1,http://192.168.16.70/,21,0,0
1574706527102,27,HTTP Request,200,OK,Thread Group 1-2,text,true,,26121,115,1,1,http://192.168.16.70/,17,0,0
1574706527137,22,HTTP Request,200,OK,Thread Group 1-3,text,true,,26121,115,1,1,http://192.168.16.70/,13,0,1
1574706527174,22,HTTP Request,200,OK,Thread Group 1-4,text,true,,26121,115,1,1,http://192.168.16.70/,13,0,0
1574706527211,25,HTTP Request,200,OK,Thread Group 1-5,text,true,,26121,115,1,1,http://192.168.16.70/,14,0,0
1574706527263,43,HTTP Request,200,OK,Thread Group 1-6,text,true,,26121,115,2,2,http://192.168.16.70/,20,0,1
1574706527289,32,HTTP Request,200,OK,Thread Group 1-7,text,true,,26121,115,1,1,http://192.168.16.70/,22,0,2
1574706527325,25,HTTP Request,200,OK,Thread Group 1-8,text,true,,26121,115,1,1,http://192.168.16.70/,16,0,0
1574706527368,22,HTTP Request,200,OK,Thread Group 1-9,text,true,,26121,115,1,1,http://192.168.16.70/,12,0,1
1574706527395,29,HTTP Request,200,OK,Thread Group 1-10,text,true,,26121,115,1,1,http://192.168.16.70/,17,0,1
1574706527432,23,HTTP Request,200,OK,Thread Group 1-11,text,true,,26121,115,1,1,http://192.168.16.70/,14,0,1
1574706527470,22,HTTP Request,200,OK,Thread Group 1-12,text,true,,26121,115,1,1,http://192.168.16.70/,13,0,0
1574706527509,26,HTTP Request,200,OK,Thread Group 1-13,text,true,,26121,115,1,1,http://192.168.16.70/,17,0,1
1574706527553,23,HTTP Request,200,OK,Thread Group 1-14,text,true,,26121,115,1,1,http://192.168.16.70/,13,0,1
1574706527581,22,HTTP Request,200,OK,Thread Group 1-15,text,true,,26121,115,1,1,http://192.168.16.70/,14,0,0
1574706527618,24,HTTP Request,200,OK,Thread Group 1-16,text,true,,26121,115,1,1,http://192.168.16.70/,15,0,0
1574706527655,24,HTTP Request,200,OK,Thread Group 1-17,text,true,,26121,115,1,1,http://192.168.16.70/,15,0,0
1574706527692,27,HTTP Request,200,OK,Thread Group 1-18,text,true,,26121,115,1,1,http://192.168.16.70/,17,0,0
1574706527728,23,HTTP Request,200,OK,Thread Group 1-19,text,true,,26121,115,1,1,http://192.168.16.70/,14,0,0
1574706527771,24,HTTP Request,200,OK,Thread Group 1-20,text,true,,26121,115,1,1,http://192.168.16.70/,14,0,1
1574706527809,26,HTTP Request,200,OK,Thread Group 1-21,text,true,,26121,115,1,1,http://192.168.16.70/,15,0,0
1574706527840,19,HTTP Request,200,OK,Thread Group 1-22,text,true,,26121,115,1,1,http://192.168.16.70/,12,0,0
1574706527879,19,HTTP Request,200,OK,Thread Group 1-23,text,true,,26121,115,1,1,http://192.168.16.70/,11,0,0
