timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1574706566234,132,HTTP Request,200,OK,Thread Group 1-1,text,true,,26121,115,1,1,http://192.168.16.69/,82,0,1
1574706566434,44,HTTP Request,200,OK,Thread Group 1-2,text,true,,26121,115,1,1,http://192.168.16.69/,29,0,1
1574706566636,44,HTTP Request,200,OK,Thread Group 1-3,text,true,,26121,115,1,1,http://192.168.16.69/,32,0,1
1574706566834,16,HTTP Request,200,OK,Thread Group 1-4,text,true,,26121,115,1,1,http://192.168.16.69/,9,0,0
1574706567036,53,HTTP Request,200,OK,Thread Group 1-5,text,true,,26121,115,1,1,http://192.168.16.69/,43,0,1
1574706567246,42,HTTP Request,200,OK,Thread Group 1-6,text,true,,26121,115,1,1,http://192.168.16.69/,32,0,1
1574706567434,38,HTTP Request,200,OK,Thread Group 1-7,text,true,,26121,115,1,1,http://192.168.16.69/,29,0,1
1574706567635,36,HTTP Request,200,OK,Thread Group 1-8,text,true,,26121,115,1,1,http://192.168.16.69/,27,0,1
1574706567834,33,HTTP Request,200,OK,Thread Group 1-9,text,true,,26121,115,1,1,http://192.168.16.69/,25,0,0
1574706568033,19,HTTP Request,200,OK,Thread Group 1-10,text,true,,26121,115,1,1,http://192.168.16.69/,12,0,0
1574706568234,34,HTTP Request,200,OK,Thread Group 1-11,text,true,,26121,115,1,1,http://192.168.16.69/,27,0,1
1574706568435,39,HTTP Request,200,OK,Thread Group 1-12,text,true,,26121,115,1,1,http://192.168.16.69/,32,0,1
1574706568634,33,HTTP Request,200,OK,Thread Group 1-13,text,true,,26121,115,1,1,http://192.168.16.69/,25,0,1
1574706568834,35,HTTP Request,200,OK,Thread Group 1-14,text,true,,26121,115,1,1,http://192.168.16.69/,28,0,1
1574706569034,19,HTTP Request,200,OK,Thread Group 1-15,text,true,,26121,115,1,1,http://192.168.16.69/,13,0,0
1574706569234,38,HTTP Request,200,OK,Thread Group 1-16,text,true,,26121,115,1,1,http://192.168.16.69/,30,0,1
1574706569434,26,HTTP Request,200,OK,Thread Group 1-17,text,true,,26121,115,1,1,http://192.168.16.69/,19,0,1
1574706569635,34,HTTP Request,200,OK,Thread Group 1-18,text,true,,26121,115,1,1,http://192.168.16.69/,25,0,1
1574706569836,34,HTTP Request,200,OK,Thread Group 1-19,text,true,,26121,115,1,1,http://192.168.16.69/,25,0,1
1574706570034,24,HTTP Request,200,OK,Thread Group 1-20,text,true,,26121,115,1,1,http://192.168.16.69/,16,0,1
1574706570234,40,HTTP Request,200,OK,Thread Group 1-21,text,true,,26121,115,1,1,http://192.168.16.69/,31,0,1
1574706570433,38,HTTP Request,200,OK,Thread Group 1-22,text,true,,26121,115,1,1,http://192.168.16.69/,29,0,1
1574706570634,38,HTTP Request,200,OK,Thread Group 1-23,text,true,,26121,115,1,1,http://192.168.16.69/,31,0,1
1574706570835,40,HTTP Request,200,OK,Thread Group 1-24,text,true,,26121,115,1,1,http://192.168.16.69/,30,0,1
1574706571034,17,HTTP Request,200,OK,Thread Group 1-25,text,true,,26121,115,1,1,http://192.168.16.69/,10,0,1
1574706571234,37,HTTP Request,200,OK,Thread Group 1-26,text,true,,26121,115,1,1,http://192.168.16.69/,29,0,2
1574706571434,35,HTTP Request,200,OK,Thread Group 1-27,text,true,,26121,115,1,1,http://192.168.16.69/,27,0,0
1574706571635,43,HTTP Request,200,OK,Thread Group 1-28,text,true,,26121,115,1,1,http://192.168.16.69/,33,0,1
1574706571834,44,HTTP Request,200,OK,Thread Group 1-29,text,true,,26121,115,1,1,http://192.168.16.69/,35,0,1
1574706572034,28,HTTP Request,200,OK,Thread Group 1-30,text,true,,26121,115,1,1,http://192.168.16.69/,20,0,1
1574706572234,36,HTTP Request,200,OK,Thread Group 1-31,text,true,,26121,115,1,1,http://192.168.16.69/,28,0,1
1574706572434,34,HTTP Request,200,OK,Thread Group 1-32,text,true,,26121,115,1,1,http://192.168.16.69/,26,0,1
1574706572634,34,HTTP Request,200,OK,Thread Group 1-33,text,true,,26121,115,1,1,http://192.168.16.69/,26,0,2
1574706572834,29,HTTP Request,200,OK,Thread Group 1-34,text,true,,26121,115,1,1,http://192.168.16.69/,22,0,4
1574706573034,56,HTTP Request,200,OK,Thread Group 1-35,text,true,,26121,115,1,1,http://192.168.16.69/,38,0,1
1574706573233,66,HTTP Request,200,OK,Thread Group 1-36,text,true,,26121,115,1,1,http://192.168.16.69/,43,0,1
1574706573434,61,HTTP Request,200,OK,Thread Group 1-37,text,true,,26121,115,1,1,http://192.168.16.69/,38,0,1
1574706573635,59,HTTP Request,200,OK,Thread Group 1-38,text,true,,26121,115,1,1,http://192.168.16.69/,36,0,1
1574706573834,63,HTTP Request,200,OK,Thread Group 1-39,text,true,,26121,115,1,1,http://192.168.16.69/,38,0,1
1574706574034,65,HTTP Request,200,OK,Thread Group 1-40,text,true,,26121,115,1,1,http://192.168.16.69/,40,0,1
1574706574233,60,HTTP Request,200,OK,Thread Group 1-41,text,true,,26121,115,1,1,http://192.168.16.69/,39,0,1
1574706574434,56,HTTP Request,200,OK,Thread Group 1-42,text,true,,26121,115,1,1,http://192.168.16.69/,34,0,0
1574706574634,46,HTTP Request,200,OK,Thread Group 1-43,text,true,,26121,115,1,1,http://192.168.16.69/,36,0,1
1574706574834,42,HTTP Request,200,OK,Thread Group 1-44,text,true,,26121,115,1,1,http://192.168.16.69/,33,0,1
1574706575034,45,HTTP Request,200,OK,Thread Group 1-45,text,true,,26121,115,1,1,http://192.168.16.69/,33,0,1
1574706575234,59,HTTP Request,200,OK,Thread Group 1-46,text,true,,26121,115,1,1,http://192.168.16.69/,37,0,1
1574706575434,28,HTTP Request,200,OK,Thread Group 1-47,text,true,,26121,115,1,1,http://192.168.16.69/,18,0,0
1574706575634,39,HTTP Request,200,OK,Thread Group 1-48,text,true,,26121,115,1,1,http://192.168.16.69/,29,0,1
1574706575834,48,HTTP Request,200,OK,Thread Group 1-49,text,true,,26121,115,1,1,http://192.168.16.69/,35,0,1
1574706576035,52,HTTP Request,200,OK,Thread Group 1-50,text,true,,26121,115,1,1,http://192.168.16.69/,37,0,1
